"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SST",8.46811185754221e-301,1.27800694686898,0.875,0.717,1.85062116534727e-296,"Delta","SST"
"MT-ND1",3.68764476573489e-209,0.564164328576354,0.993,0.979,8.05897887103703e-205,"Delta","MT-ND1"
"MT-ND4",6.45232605413055e-191,0.439189830253282,0.99,0.977,1.41009133586969e-186,"Delta","MT-ND4"
"EEF1A1",8.40433544254525e-162,-0.754625166880431,0.537,0.741,1.83668346761384e-157,"Delta","EEF1A1"
"MT-ND3",1.47561539152504e-156,0.441015510949859,0.97,0.952,3.22480987663882e-152,"Delta","MT-ND3"
"RPS27",8.05777387678787e-155,-1.07885759533844,0.122,0.35,1.76094590303322e-150,"Delta","RPS27"
"AL078595.1",9.67336251769708e-145,-0.989992442271509,0.027,0.208,2.11401664461752e-140,"Delta","AL078595.1"
"RPLP0",1.59384029001057e-135,-0.928491120674011,0.136,0.369,3.48317856978909e-131,"Delta","RPLP0"
"RPS25",4.81884547290663e-135,-0.931297487965765,0.074,0.278,1.05311048964901e-130,"Delta","RPS25"
"RPS8",6.01139934048323e-133,-0.847567135721852,0.22,0.453,1.31373121186921e-128,"Delta","RPS8"
"RPS3A",2.93073149656532e-129,-0.982182287798399,0.205,0.422,6.40482061259385e-125,"Delta","RPS3A"
"RPS10",5.7157929816924e-127,-0.940591425057019,0.076,0.267,1.24912939821906e-122,"Delta","RPS10"
"HNRNPA1",8.67258658602591e-126,-0.799836745870393,0.073,0.266,1.8953070725101e-121,"Delta","HNRNPA1"
"RPL13A",2.27501744895781e-124,-0.811988884785398,0.26,0.484,4.97182313295239e-120,"Delta","RPL13A"
"SP100",1.38530657485824e-122,1.38821689619815,0.707,0.617,3.02744898869519e-118,"Delta","SP100"
"RACK1",2.26856257612823e-121,-0.710557011912862,0.093,0.3,4.95771665387064e-117,"Delta","RACK1"
"RPS18",2.81947106997317e-119,-0.85597620618342,0.159,0.379,6.16167207631937e-115,"Delta","RPS18"
"PPDPF",2.40672863644351e-118,-0.645587917371629,0.035,0.199,5.25966476208365e-114,"Delta","PPDPF"
"RPL5",6.77006224860083e-118,-0.791595024336672,0.089,0.285,1.47952940380923e-113,"Delta","RPL5"
"RPS15A",5.2469487208547e-115,-0.655177113582525,0.123,0.333,1.14666817345559e-110,"Delta","RPS15A"
"RPL21",3.36559967174266e-114,-0.764300194085118,0.098,0.286,7.35518152262641e-110,"Delta","RPL21"
"RPL4",7.45523350398186e-114,-0.651819739321129,0.124,0.338,1.62926672996019e-109,"Delta","RPL4"
"P4HB",2.18010091201611e-113,-0.632932606254266,0.071,0.256,4.76439253312e-109,"Delta","P4HB"
"COX7C",7.38480447754787e-113,-0.571152078250939,0.059,0.235,1.61387517052331e-108,"Delta","COX7C"
"EEF2",6.5869575891011e-112,-0.579825624604364,0.073,0.259,1.43951371152215e-107,"Delta","EEF2"
"RPLP1",9.61993866943626e-111,-0.79549521067675,0.192,0.417,2.1023413968186e-106,"Delta","RPLP1"
"PTMA",1.83652609748959e-110,-0.700470920540243,0.074,0.253,4.01354413345376e-106,"Delta","PTMA"
"HLA-C",3.546763173329e-110,-0.610984744368005,0.038,0.195,7.75109623899319e-106,"Delta","HLA-C"
"RPL37",4.79043201700668e-110,-0.678317204893618,0.107,0.307,1.04690101299664e-105,"Delta","RPL37"
"AC243919.1",1.43514734170397e-109,-0.742994495646757,0.208,0.428,3.13637100055986e-105,"Delta","AC243919.1"
"AP000902.1",1.64604170373572e-109,-0.545720101994619,0.018,0.156,3.59725953934404e-105,"Delta","AP000902.1"
"RPS26",8.75930446794933e-109,-0.605385022039268,0.082,0.261,1.91425839842565e-104,"Delta","RPS26"
"CTSB",2.26124886052392e-108,-0.854950957996492,0.053,0.217,4.94173325978897e-104,"Delta","CTSB"
"FTH1",6.67599265110693e-108,-0.895066404634782,0.315,0.536,1.45897143397291e-103,"Delta","FTH1"
"RPS21",1.35969332846639e-107,-0.480608187939947,0.052,0.217,2.97147380003046e-103,"Delta","RPS21"
"RPL18",1.47865382837172e-107,-0.676066981868513,0.115,0.32,3.23145007652355e-103,"Delta","RPL18"
"SLC25A6",1.84793345366375e-107,-0.472512992429266,0.042,0.199,4.03847376963676e-103,"Delta","SLC25A6"
"AC006511.4",7.58638380270339e-107,-0.654603679660652,0.017,0.151,1.6579283162428e-102,"Delta","AC006511.4"
"RPL27",1.41190312654567e-106,-0.595112568857454,0.117,0.321,3.08557309275291e-102,"Delta","RPL27"
"RPL35",2.28885426091125e-106,-0.519999494097186,0.061,0.231,5.00206210179543e-102,"Delta","RPL35"
"RPSA",5.80175507716797e-106,-0.682444800850887,0.169,0.379,1.26791555456429e-101,"Delta","RPSA"
"RPL36",7.5442047415415e-106,-0.528726334686522,0.095,0.288,1.64871050421648e-101,"Delta","RPL36"
"RPL34",4.55918805273355e-105,-0.665691671622806,0.143,0.352,9.96364957044391e-101,"Delta","RPL34"
"RPL28",1.13803089851361e-104,-0.596626728903898,0.11,0.31,2.48705272561164e-100,"Delta","RPL28"
"RPL29",2.10120393187942e-103,-0.580276597239578,0.118,0.318,4.59197107272928e-99,"Delta","RPL29"
"RPL39",3.54209553908605e-103,-0.506528136386402,0.094,0.282,7.74089559111866e-99,"Delta","RPL39"
"RPL38",2.44946700577156e-101,-0.520175722609536,0.103,0.296,5.35306519441318e-97,"Delta","RPL38"
"AP000769.1",2.70079424058583e-101,-0.544999578152918,0.035,0.178,5.90231573337628e-97,"Delta","AP000769.1"
"SNHG5",5.34467928502192e-101,-0.577516155224785,0.052,0.207,1.16802621094869e-96,"Delta","SNHG5"
"HLA-B",8.43374747544824e-101,-0.696694144022894,0.132,0.333,1.84311117328446e-96,"Delta","HLA-B"
"RPL12",1.10875050293443e-99,-0.583681297370717,0.138,0.338,2.4230633491129e-95,"Delta","RPL12"
"RPL36A",1.89368473824082e-99,-0.534434386472184,0.175,0.378,4.13845862695149e-95,"Delta","RPL36A"
"RPL35A",5.81241680191084e-99,-0.492145946470508,0.109,0.303,1.27024556788959e-94,"Delta","RPL35A"
"BTF3",1.6233008142262e-98,-0.452649799647508,0.062,0.224,3.54756159940994e-94,"Delta","BTF3"
"GAPDH",2.06871164978699e-98,-0.876328221378249,0.24,0.451,4.52096243944449e-94,"Delta","GAPDH"
"EEF1B2",1.3395080694626e-96,-0.558343081089728,0.101,0.281,2.92736093500356e-92,"Delta","EEF1B2"
"GAPDHP35",6.13885049298505e-96,-0.638472603363682,0.03,0.163,1.34158438673695e-91,"Delta","GAPDHP35"
"RPL30",1.04514948877054e-95,-0.546206673549505,0.13,0.329,2.28406969275913e-91,"Delta","RPL30"
"TIMP1",5.44076070528656e-95,-1.06809498860447,0.106,0.283,1.18902384453332e-90,"Delta","TIMP1"
"RPL3",9.58923058181137e-95,-0.676740972985081,0.307,0.508,2.09563045134906e-90,"Delta","RPL3"
"FTL",1.19324961544361e-94,-0.758458716648905,0.311,0.532,2.60772770959047e-90,"Delta","FTL"
